sep=;
"pers_id";"id_ca_parlinfo";"last_name";"first_name";"birth_date"
"CA_Qaqqaq_Mumilaaq_9999";20134;"Qaqqaq";"Mumilaaq";
"CA_Anand_Anita_9999";20135;"Anand";"Anita";
"CA_Lalonde_Marie_9999";20136;"Lalonde";"Marie-France";
"CA_Zuberi_Sameer_9999";20138;"Zuberi";"Sameer";
"CA_Dalton_Marc_9999";20139;"Dalton";"Marc";
"CA_Shin_Nelly_9999";20140;"Shin";"Nelly";
"CA_Kram_Michael_9999";20142;"Kram";"Michael";
"CA_Blanchette-Joncas_Maxime_9999";20143;"Blanchette-Joncas";"Maxime";
"CA_Desilets_Luc_9999";20144;"Desilets";"Luc";
"CA_Savard-Tremblay_Simon_9999";20145;"Savard-Tremblay";"Simon-Pierre";
"CA_Lattanzio_Patricia_9999";20147;"Lattanzio";"Patricia";
"CA_Redekopp_Brad_9999";20148;"Redekopp";"Brad";
"CA_Tochor_Corey_9999";20149;"Tochor";"Corey";
"CA_Larouche_Andreanne_9999";20150;"Larouche";"Andreanne";
"CA_Briere_Elisabeth_9999";20151;"Briere";"Elisabeth";
"CA_Dowdall_Terry_9999";20152;"Dowdall";"Terry";
"CA_Bachrach_Taylor_9999";20153;"Bachrach";"Taylor";
"CA_Chiu_Kenny_9999";20155;"Chiu";"Kenny";
"CA_Battiste_Jaime_9999";20157;"Battiste";"Jaime";
"CA_Chabot_Louise_9999";20158;"Chabot";"Louise";
"CA_Bragdon_Richard_9999";20160;"Bragdon";"Richard";
"CA_Collins_Laurel_9999";20162;"Collins";"Laurel";
"CA_Kusmierczyk_Irek_9999";20167;"Kusmierczyk";"Irek";
"CA_Gazan_Leah_9999";20168;"Gazan";"Leah";
"CA_Soroka_Gerald_9999";20169;"Soroka";"Gerald";
"CA_Saks_Yaara_9999";20188;"Saks";"Yaara";
"CA_Ien_Marci_9999";20189;"Ien";"Marci";
"CA_Roy_Leah_9999";20217;"Roy";"Leah-Taylor";
"CA_Williams_Ryan_9999";20218;"Williams";"Ryan";
"CA_Ali_Shafqat_9999";20219;"Ali";"Shafqat";
"CA_Brock_Larry_9999";20220;"Brock";"Larry";
"CA_Chahal_George_9999";20221;"Chahal";"George";
"CA_Ellis_Stephen_9999";20223;"Ellis";"Stephen";
"CA_Coteau_Michael_9999";20224;"Coteau";"Michael";
"CA_Desjarlais_Blake_9999";20225;"Desjarlais";"Blake";
"CA_Muys_Dan_9999";20226;"Muys";"Dan";
"CA_Goodridge_Laila_9999";20227;"Goodridge";"Laila";
"CA_Lewis_Leslyn_9999";20228;"Lewis";"Leslyn";
"CA_Collins_Chad_9999";20230;"Collins";"Chad";
"CA_Kramp-Neuman_Shelby_9999";20231;"Kramp-Neuman";"Shelby";
"CA_Caputo_Frank_9999";20232;"Caputo";"Frank";
"CA_Sudds_Jenna_9999";20233;"Sudds";"Jenna";
"CA_Morrice_Mike_9999";20234;"Morrice";"Mike";
"CA_Bradford_Valerie_9999";20235;"Bradford";"Valerie";
"CA_Kayabaga_Arielle_9999";20236;"Kayabaga";"Arielle";
"CA_Garon_Jean_9999";20239;"Garon";"Jean-Denis";
"CA_Valdez_Rechie_9999";20242;"Valdez";"Rechie";
"CA_Tolmie_Fraser_9999";20243;"Tolmie";"Fraser";
"CA_Idlout_Lori_9999";20244;"Idlout";"Lori";
"CA_Ferreri_Michelle_9999";20246;"Ferreri";"Michelle";
"CA_Chatel_Sophie_9999";20247;"Chatel";"Sophie";
"CA_Zarrillo_Bonita_9999";20248;"Zarrillo";"Bonita";
"CA_Perkins_Rick_9999";20251;"Perkins";"Rick";
"CA_Thompson_Joanne_9999";20252;"Thompson";"Joanne";
"CA_Bains_Parm_9999";20253;"Bains";"Parm";
"CA_Lapointe_Viviane_9999";20254;"Lapointe";"Viviane";
"CA_Hanley_Brendan_9999";20259;"Hanley";"Brendan";
"CA_Barron_Lisa_9999";20260;"Barron";"Lisa-Marie";
"CA_Miao_Chung_9999";20261;"Miao";"Chung-An-Wilson";
"CA_Small_Clifford_9999";20262;"Small";"Clifford";
"CA_Hepfner_Lisa_9999";20263;"Hepfner";"Lisa";
"CA_Roberts_Anna_9999";20264;"Roberts";"Anna";
"CA_Villemure_Rene_9999";20267;"Villemure";"Rene";
"CA_St-Onge_Pascale_9999";20268;"St-Onge";"Pascale";
"CA_Noormohamed_Taleeb_9999";20269;"Noormohamed";"Taleeb";
"CA_Khanna_Arpan_9999";20302;"Khanna";"Arpan";
"CA_Leslie_Branden_9999";20303;"Leslie";"Branden";
"CA_Carr_Ben_9999";20304;"Carr";"Ben";
"CA_Majumdar_Shuvaloy_9999";20308;"Majumdar";"Shuvaloy";
"CA_Jivani_Jamil_9999";20338;"Jivani";"Jamil";
"CA_Stewart_Don_9999";20345;"Stewart";"Don";
"CA_Sauve_Louis_9999";20355;"Sauve";"Louis-Philippe";
"CA_Dance_Leila_9999";20356;"Dance";"Leila";
"CA_Connors_Paul_9999";20376;"Connors";"Paul";
"CA_Osborne_Tom_9999";20377;"Osborne";"Tom";
"CA_Earle_Philip_9999";20378;"Earle";"Philip";
"CA_Anstey_Carol_9999";20379;"Anstey";"Carol";
"CA_MacDonald_Kent_9999";20381;"MacDonald";"Kent";
"CA_Hirtle_Alana_9999";20382;"Hirtle";"Alana";
"CA_Miedema_Shannon_9999";20383;"Miedema";"Shannon";
"CA_Clark_Braedon_9999";20384;"Clark";"Braedon";
"CA_Fancy_Jessica_9999";20385;"Fancy";"Jessica";
"CA_Myles_David_9999";20386;"Myles";"David";
"CA_Deschenes-Theriault_Guillaume_9999";20387;"Deschenes-Theriault";"Guillaume";
"CA_Dawson_Mike_9999";20388;"Dawson";"Mike";
"CA_Gull-Masty_Mandy_9999";20389;"Gull-Masty";"Mandy";
"CA_Groleau_Jason_9999";20390;"Groleau";"Jason";
"CA_Sari_Abdelhaq_9999";20392;"Sari";"Abdelhaq";
"CA_Villeneuve_Louis_9999";20393;"Villeneuve";"Louis";
"CA_Provost_Nathalie_9999";20394;"Provost";"Nathalie";
"CA_Dandurand_Marianne_9999";20395;"Dandurand";"Marianne";
"CA_Deschenes_Alexis_9999";20396;"Deschenes";"Alexis";
"CA_Menard_Marie_9999";20397;"Menard";"Marie-Gabrielle";
"CA_St-Pierre_Eric_9999";20398;"St-Pierre";"Eric";
"CA_Ramsay_Jacques_9999";20399;"Ramsay";"Jacques";
"CA_Guay_Claude_9999";20400;"Guay";"Claude";
"CA_Watchorn_Tim_9999";20401;"Watchorn";"Tim";
"CA_Joseph_Natilien_9999";20402;"Joseph";"Natilien";
"CA_Ntumba_Bienvenu_9999";20404;"Ntumba";"Bienvenu-Olivier";
"CA_Hardy_Gabriel_9999";20405;"Hardy";"Gabriel";
"CA_Michel_Marjorie_9999";20406;"Michel";"Marjorie";
"CA_Bonin_Patrick_9999";20407;"Bonin";"Patrick";
"CA_Lefebvre_Eric_9999";20408;"Lefebvre";"Eric";
"CA_Chenette_Madeleine_9999";20409;"Chenette";"Madeleine";
"CA_Desrochers_Caroline_9999";20410;"Desrochers";"Caroline";
"CA_McKelvie_Jennifer_9999";20411;"McKelvie";"Jennifer";
"CA_Malette_Chris_9999";20412;"Malette";"Chris";
"CA_Sodhi_Amandeep_9999";20413;"Sodhi";"Amandeep";
"CA_Gill_Amarjeet_9999";20414;"Gill";"Amarjeet";
"CA_Cody_Connie_9999";20416;"Cody";"Connie";
"CA_Fanjoy_Bruce_9999";20417;"Fanjoy";"Bruce";
"CA_Chi_Maggie_9999";20418;"Chi";"Maggie";
"CA_Gasparro_Vince_9999";20419;"Gasparro";"Vince";
"CA_Lawton_Andrew_9999";20420;"Lawton";"Andrew";
"CA_Zerucelli_John_9999";20421;"Zerucelli";"John";
"CA_ORourke_Dominique_9999";20422;"ORourke";"Dominique";
"CA_Rana_Aslam_9999";20423;"Rana";"Aslam";
"CA_Kuruc_Nenad_9999";20424;"Kuruc";"Nenad";
"CA_Danko_John_9999";20425;"Danko";"John-Paul";
"CA_Malette_Gaetan_9999";20426;"Malette";"Gaetan";
"CA_DeRidder_Kelly_9999";20427;"DeRidder";"Kelly";
"CA_Strauss_Matt_9999";20428;"Strauss";"Matt";
"CA_Holman_Kurt_9999";20429;"Holman";"Kurt";
"CA_Hodgson_Tim_9999";20430;"Hodgson";"Tim";
"CA_Ma_Michael_9999";20431;"Ma";"Michael";
"CA_Soud_Fares_9999";20432;"Soud";"Fares-Abu-Al";
"CA_Cobena_Sandra_9999";20434;"Cobena";"Sandra";
"CA_Davies_Fred_9999";20435;"Davies";"Fred";
"CA_Rochefort_Pauline_9999";20436;"Rochefort";"Pauline";
"CA_Acan_Ilgit_9999";20437;"Acan";"Ilgit-Sima";
"CA_Kirkland_Rhonda_9999";20438;"Kirkland";"Rhonda";
"CA_Harrison_Emma_9999";20439;"Harrison";"Emma";
"CA_Nathan_Juanita_9999";20440;"Nathan";"Juanita";
"CA_Mingarelli_Giovanna_9999";20441;"Mingarelli";"Giovanna";
"CA_Ho_Vincent_9999";20442;"Ho";"Vincent-Neil";
"CA_Nguyen_Chi_9999";20443;"Nguyen";"Chi";
"CA_Belanger_Jim_9999";20444;"Belanger";"Jim";
"CA_Bardeesy_Karim_9999";20445;"Bardeesy";"Karim";
"CA_Solomon_Evan_9999";20446;"Solomon";"Evan";
"CA_Church_Leslie_9999";20447;"Church";"Leslie";
"CA_Guglielmin_Michael_9999";20448;"Guglielmin";"Michael";
"CA_Borrelli_Kathy_9999";20449;"Borrelli";"Kathy";
"CA_Gill_Harb_9999";20450;"Gill";"Harb";
"CA_Baber_Roman_9999";20451;"Baber";"Roman";
"CA_Mantle_Jacob_9999";20452;"Mantle";"Jacob";
"CA_Jackson_Grant_9999";20453;"Jackson";"Grant";
"CA_Chartrand_Rebecca_9999";20454;"Chartrand";"Rebecca";
"CA_Reynolds_Colin_9999";20455;"Reynolds";"Colin";
"CA_Lavack_Ginette_9999";20456;"Lavack";"Ginette";
"CA_Belanger_Buckley_9999";20457;"Belanger";"Buckley";
"CA_Bonk_Steven_9999";20458;"Bonk";"Steven";
"CA_Bexte_David_9999";20459;"Bexte";"David";
"CA_Hogan_Corey_9999";20460;"Hogan";"Corey";
"CA_Gill_Dalwinder_9999";20462;"Gill";"Dalwinder";
"CA_McKenzie_David_9999";20463;"McKenzie";"David";
"CA_Gill_Amanpreet_9999";20464;"Gill";"Amanpreet-S";
"CA_Olszewski_Eleanor_9999";20465;"Olszewski";"Eleanor";
"CA_Morin_Billy_9999";20466;"Morin";"Billy";
"CA_Mahal_Jagsharan_9999";20467;"Mahal";"Jagsharan-Singh";
"CA_Bailey_Burton_9999";20468;"Bailey";"Burton";
"CA_Stevenson_William_9999";20469;"Stevenson";"William";
"CA_Gill_Sukhman_9999";20470;"Gill";"Sukhman";
"CA_Chang_Wade_9999";20471;"Chang";"Wade";
"CA_Kibble_Jeff_9999";20472;"Kibble";"Jeff";
"CA_McKnight_Jill_9999";20473;"McKnight";"Jill";
"CA_McLean_Stephanie_9999";20474;"McLean";"Stephanie";
"CA_Saini_Gurbux_9999";20475;"Saini";"Gurbux";
"CA_Kronis_Tamara_9999";20476;"Kronis";"Tamara";
"CA_Sawatzky_Jake_9999";20477;"Sawatzky";"Jake";
"CA_Gunn_Aaron_9999";20478;"Gunn";"Aaron";
"CA_Royer_Zoe_9999";20479;"Royer";"Zoe";
"CA_Au_Chak_9999";20480;"Au";"Chak";
"CA_Konanz_Helena_9999";20481;"Konanz";"Helena";
"CA_Ross_Ellis_9999";20482;"Ross";"Ellis";
"CA_Klassen_Ernie_9999";20483;"Klassen";"Ernie";
"CA_Robertson_Gregor_9999";20484;"Robertson";"Gregor";
"CA_Grant_Wade_9999";20485;"Grant";"Wade";
"CA_Anderson_Scott_9999";20486;"Anderson";"Scott";
"CA_Greaves_Will_9999";20487;"Greaves";"Will";
"CA_Alty_Rebecca_9999";20488;"Alty";"Rebecca";
"CA_Auguste_Tatiana_9999";20490;"Auguste";"Tatiana";
"CA_Derksen_Kristina_9999";20491;"Derksen";"Kristina-Tesser";
"CA_Rowe_Jonathan_9999";20492;"Rowe";"Jonathan";
